Number;Date Submitted;Device;Browser;OS;products;credit_card_limit;credit_card_limit_is_enough;proposed_credit_card_limit;account_limit;account_limit_is_enough;proposed_account_limit
1;2019-06-10 12:43:06;desktop;Chrome 74.0.3729;Windows 10;Credit Card;;;;;;
2;2019-06-10 12:43:12;phone;Chrome Mobile 74.0.3729;Android;Credit Card and Account Limit;;;;;;
3;2019-06-10 12:43:15;desktop;Chrome 74.0.3729;Windows 10;None;;;;;;
4;2019-06-10 12:43:18;desktop;Chrome 75.0.3770;Windows 10;Credit Card;18000;Yes;;;;
5;2019-06-10 12:43:19;phone;Chrome Mobile 67.0.3396;Android 4.4.4;None;;;;;;
6;2019-06-10 12:43:19;phone;Chrome Mobile 74.0.3729;Android 8.1.0;None;;;;;;
7;2019-06-10 12:43:21;desktop;Vivaldi 2.5.1525;Windows 10;Credit Card;;;;;;
8;2019-06-10 12:43:29;desktop;Chrome 74.0.3729;Windows 10;Credit Card;5000;No;7000;;;
9;2019-06-10 12:43:33;desktop;Chrome 75.0.3770;Windows 10;None;;;;;;
10;2019-06-10 12:43:34;desktop;Firefox 67.0;Windows 10;None;;;;;;
11;2019-06-10 12:43:38;phone;Chrome Mobile 74.0.3729;Android 7.1.2;None;;;;;;
12;2019-06-10 12:43:39;phone;Chrome Mobile 75.0.3770;Android 7.0;None;;;;;;
13;2019-06-10 12:43:40;desktop;Chrome 74.0.3729;Mac OS X 10.12.6;Credit Card;20000;Yes;;;;
14;2019-06-10 12:43:40;phone;Chrome Mobile 74.0.3729;Android 8.1.0;None;;;;;;
15;2019-06-10 12:43:41;desktop;Chrome 74.0.3729;Windows 10;Credit Card and Account Limit;4000,00;No;10000,00;2000,00;No;10000,00
16;2019-06-10 12:43:41;desktop;Chrome 75.0.3770;Windows 10;Credit Card;1.500;Yes;;;;
17;2019-06-10 12:43:42;phone;Chrome Mobile 73.0.3683;Android 8.1.0;Credit Card;2200;Yes;;;;
18;2019-06-10 12:43:43;desktop;Chrome 74.0.3729;Windows 10;None;;;;;;
19;2019-06-10 12:43:43;desktop;Chrome 74.0.3729;Windows 10;Credit Card and Account Limit;;;;;;
20;2019-06-10 12:43:43;phone;Samsung Internet 9.2;Android;Credit Card;7.000;Yes;;;;
21;2019-06-10 12:43:44;desktop;Chrome 75.0.3770;Windows 10;None;;;;;;
22;2019-06-10 12:43:44;phone;Chrome Mobile 61.0.3163;Android 8.1.0;Credit Card;2000,00;No;3000,00 ;;;
23;2019-06-10 12:43:45;desktop;Chrome 74.0.3729;Windows 7;None;;;;;;
24;2019-06-10 12:43:45;phone;Chrome Mobile 43.0.2357;Android 6.0.1;Credit Card;1900;No;3000;;;
25;2019-06-10 12:43:46;phone;Chrome Mobile 71.0.3578;Android 6.0.1;Credit Card and Account Limit;5 mil;Yes;;3 mil ;Yes;
26;2019-06-10 12:43:46;desktop;Chrome 74.0.3729;Windows 10;None;;;;;;
27;2019-06-10 12:43:46;phone;Chrome Mobile 74.0.3729;Android;Credit Card and Account Limit;5070;No;;;;
28;2019-06-10 12:43:47;desktop;Firefox 67.0;Windows 7;Credit Card;;;;;;
29;2019-06-10 12:43:47;phone;Chrome Mobile 74.0.3729;Android 5.1.1;None;;;;;;
30;2019-06-10 12:43:47;phone;Chrome Mobile 74.0.3729;Android 7.1.2;Credit Card;500;No;Muito pouco;;;
31;2019-06-10 12:43:47;desktop;Chrome 74.0.3729;Windows 10;None;;;;;;
32;2019-06-10 12:43:48;desktop;Chrome 74.0.3729;Windows 10;None;;;;;;
33;2019-06-10 12:43:48;desktop;Chrome 75.0.3770;Windows 10;None;;;;;;
34;2019-06-10 12:43:50;phone;Chrome Mobile 73.0.3683;Android 8.1.0;None;;;;;;
35;2019-06-10 12:43:50;desktop;Chrome 75.0.3770;Windows 10;Credit Card;;;;;;
