"ï»¿""Longitude (x)""",Latitude (y),Station Name,Climate ID,Date/Time (LST),Temp (ÂC),Temp Flag,Dew Point Temp (ÂC),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T00:00:00.000000,-1.0,"",-1.7,"",95,"","","",26,"",35,"",6.4,"",99.89,"","","",-8,"",Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T01:00:00.000000,-2.0,"",-5.1,"",79,"","","",27,"",35,"",16.1,"",99.93,"","","",-10,"",Mainly Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T02:00:00.000000,-2.7,"",-6.0,"",78,"","","",30,"",28,"",19.3,"",100.08,"","","",-10,"",Snow
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T03:00:00.000000,-5.6,"",-11.7,"",62,"","","",28,"",30,"",25.0,"",100.21,"","","",-14,"",Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T04:00:00.000000,-7.7,"",-12.6,"",68,"","","",29,"",35,"",19.3,"",100.32,"","","",-17,"",Mainly Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T05:00:00.000000,-9.7,"",-14.8,"",66,"","","",28,"",33,"",25.0,"",100.47,"","","",-20,"",Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T06:00:00.000000,-11.1,"",-17.0,"",62,"","","",30,"",30,"",25.0,"",100.65,"","","",-21,"",Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T07:00:00.000000,-12.2,"",-17.2,"",66,"","","",28,"",20,"",25.0,"",100.78,"","","",-21,"",Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T08:00:00.000000,-13.0,"",-17.7,"",68,"","","",26,"",13,"",24.1,"",100.87,"","","",-20,"",Clear
-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2013-01-01T09:00:00.000000,-13.0,"",-17.3,"",70,"","","",27,"",20,"",24.1,"",100.86,"","","",-22,"",Clear
